Region,Population,GDP,Area,Neighbours,,,,,,
Canada,20,20,100,Arctic,Eastern Russia,US West Coast,American Plains,Atlantic US,Great Britain,
American Plains,25,25,50,Canada,US West Coast,Atlantic US,Mexico,,,
Mexico,30,20,30,American Plains,US West Coast,Atlantic US,Central America,Caribean Islands,,
US West Coast,35,30,30,American Plains,Mexico,Canada,Pacific Islands,,,
Atlantic US,45,60,30,American Plains,Mexico,Canada,Caribean Islands,,,
Central America,15,20,20,Mexico,Caribean Islands,Columbia,Pacific Islands,,,
Caribean Islands ,25,25,20,Mexico,Central America,Atlantic US,Columbia,Spain,,
Columbia,30,20,30,Caribean Islands,Central America,Andes,Brazil,,,
Brazil,55,40,70,Columbia,Argentina,Andes,West Africa,,,
Andes,35,35,40,Argentina,Pacific Islands,Columbia,Brazil,,,
Argentina,35,45,30,Andes,Brazil,,,,,
Arctic Teritory,5,5,20,Canada,Scandinavia,Western Russia,Siberia,Eastern Russia,Great Britain,
Great Britain,60,100,10,Arctic Teritory,Scandinavia,France,Canada,,,
Iberia,55,50,15,France,North Africa,Caribean Islands ,Mediterranean,,,
France,60,80,15,Great Britain,Iberia,Germany,Mediterranean,Central Europe,,
Germany,65,90,20,France,Central Europe,Scandinavia,,,,
Italy ,50,50,15,Mediterranean,North Africa,Central Europe,Balkans,,,
Balkans,65,40,30,Anatolia,Central Europe,Italy ,Central Europe,Eastern Europe,Western Russia,Mediterranean
Central Europe,50,50,30,France,Germany,Italy ,Balkans,Eastern Europe,,
Scandinavia,20,30,30,Germany,Great Britain,Eastern Europe,Western Russia,Arctic Teritory,,
Western Russia,60,50,50,Scandinavia,Balkans,Eastern Europe,Siberia,Caucus,Arctic Teritory,
Siberia,20,20,60,Western Russia,Caucus,Himalaya,Turkestan,Eastern Russia,Arctic Teritory,
Eastern Russia,15,15,50,Siberia,Canada,Arctic Teritory,Manchuria,Japan,Turkestan,
Caucus,25,20,40,Western Russia,Siberia,Himalaya,Turkestan,Iran,Indus Valley,
Iran,25,25,30,Caucus,Indus Valley,Arabia,Anatolia,,,
Arabia,20,30,30,Anatolia,Middle East,Iran,East Africa,,,
Middle East,35,35,15,Egypt,Anatolia,Mediterranean,Arabia,,,
North Africa,65,35,40,Iberia,Italy ,Mediterranean,Egypt,West Africa,,
West Africa,35,20,40,North Africa,Central Africa,South Africa,Brazil,,,
Egypt,30,35,30,North Africa,Central Africa,East Africa,Mediterranean,Middle East,,
Eastern Europe,45,35,30,Balkans,Western Russia,Central Europe,Scandinavia,,,
Central Africa,15,20,30,West Africa,South Africa,East Africa,Egypt,,,
East Africa,25,30,30,Egypt,Central Africa,South Africa,Arabia,,,
South Africa,25,20,40,West Africa,Central Africa,East Africa,,,,
Indus Valley,65,55,30,Iran,Caucus,Himalaya,Bengal,Southern India,,
Southern India,75,70,30,Indus Valley,Bengal,,,,,
Bengal,50,50,30,Indus Valley,Southern India,Himalaya,Western China,,,
Himalaya,20,15,30,Western China,Siberia,Indus Valley,Bengal,Turkestan,,
Manchuria,55,40,25,Eastern Russia,Japan,Western China,Chinese Pacific,,,
Turkestan,25,15,35,Himalaya,Siberia,Eastern Russia,Caucus,Western China,,
Western China,30,20,35,Turkestan,Himalaya,Southern China,Chinese Pacific,Manchuria,,
Southern China,65,50,30,Western China,Chinese Pacific,Malaya,Siam,,,
Chinese Pacific,100,60,20,Southern China,Japan,Manchuria,Western China,,,
Malaya,55,40,30,Siam,Southern China,Indonesia,,,,
Siam,50,45,25,Malaya,Southern China,Indonesia,,,,
Indonesia,55,30,35,Malaya,Siam,Australia,Pacific Islands,,,
Australia,20,20,65,Indonesia,Pacific Islands,,,,,
Pacific Islands,15,15,15,Japan,Australia,Indonesia,US West Coast,Andes,,
Anatolia,55,35,35,Mediterranean,Middle East,Iran,Arabia,,,
Japan,65,50,20,Pacific Islands,Eastern Russia,Manchuria,Chinese Pacific,,,
Mediterranean,25,35,15,Italy ,North Africa,Anatolia,Middle East,Iberia,Balkans,
